ZIP Code,	Latitude,	Longitude,

20001,	38.912068,	-77.0190228
20002,	38.9052763,	-76.98158769999999
20003,	38.8831372,	-76.9902276
20005,	38.908229,	-77.03053899999999
20006,	38.897244,	-77.0413344
20007,	38.9156487,	-77.0737149
20009,	38.9191485,	-77.0362967
20010,	38.9339046,	-77.03053899999999
20011,	38.9502497,	-77.01614359999999
20012,	38.9836326,	-77.03917539999999
20013,	38.9,	-77.03999999999999
20014,	45.5550705,	8.9858152
20015,	38.9656971,	-77.0622028
20016,	38.9374808,	-77.0852258
20017,	38.9396261,	-76.9902276
20018,	38.9274061,	-76.9729472
20019,	38.8910932,	-76.94702199999999
20020,	38.8628755,	-76.97006689999999
20021,	45.5451273,	9.1107151
20022,	38.91870370000001,	-76.9611991
20023,	38.9,	-77.00999999999999
20024,	38.8761083,	-77.0190228
20025,	45.590063,	8.9038253
20026,	38.88545999999999,	-77.02611999999999
20027,	38.9,	-76.97999999999999
20028,	45.5848473,	8.9399708
20029,	38.89,	-76.95
20030,	38.86,	-76.97
20031,	48.7687286,	29.9169173
20032,	38.8372336,	-77.01614359999999
20033,	38.9,	-77.03999999999999
20034,	48.7717936,	29.9881849
20035,	38.9,	-77.03999999999999
20036,	38.9080786,	-77.04061469999999
20037,	38.9042365,	-77.0521289
20038,	38.9,	-77.03
20039,	38.95,	-77.02
20040,	38.97,	-77.03
20041,	38.94,	-77.4599999
20042,	38.92,	-76.99
20043,	38.9,	-77.03
20044,	38.89,	-77.03
20045,	38.8969522,	-77.0301791
20046,	38.9586812,	-77.0883456
20047,	38.9586812,	-77.0883456
20049,	38.8961876,	-77.0199633
20050,	38.9,	-77.03999999999999
20051,	38.8974019,	-77.02625309999999
20052,	38.8993373,	-77.0485308
20053,	38.8831418,	-77.0114097
20055,	38.9017633,	-77.02059129999999
20056,	38.92,	-77.03
20057,	38.9079086,	-77.0716829
20058,	38.92,	-76.99
20059,	38.9217778,	-77.0197426
20060,	38.9178427,	-77.02182549999999
20061,	38.8993742,	-77.03370869999999
20062,	38.9002588,	-77.03790980000001
20063,	38.9055673,	-77.0466453
20064,	38.9369141,	-77.0003067
20065,	38.9009068,	-77.0065169
20066,	38.9167837,	-76.9946497
20067,	38.92,	-76.99
20068,	38.9,	-77.03999999999999
20069,	38.92,	-76.99
20070,	38.92,	-76.99
20071,	38.9047134,	-77.0346407
20073,	38.8988288,	-77.0338265
20074,	38.92,	-76.99
20075,	38.92,	-76.99
20076,	38.9586812,	-77.0883456
20077,	38.92,	-76.99
20078,	38.92,	-76.99
20080,	38.92,	-76.99
20081,	38.8997631,	-77.0270623
20082,	38.92,	-76.99
20083,	45.3996871,	9.0294102
20084,	45.3191176,	9.1484668
20085,	45.355619,	9.2240858
20086,	45.2796268,	8.9913317
20087,	45.4180799,	8.855870999999999
20088,	38.94,	-77.08
20089,	45.3795825,	9.1621583
20090,	38.92,	-76.99
20091,	38.9,	-77.03999999999999
20092,	45.5554145,	9.219063799999999
20093,	45.5313183,	9.2813386
20094,	45.4342568,	9.1013483
20095,	53.5507515,	10.0017259
20096,	45.489622,	9.3261186
20097,	38.89,	-77.00999999999999
20098,	38.9,	-77.03999999999999
20099,	45.5341032,	9.2471858
20100,	60.4317717,	22.1739878
20101,	38.98999999999999,	-77.45
20102,	38.98999999999999,	-77.45
20103,	39.0011526,	-77.4518276
20104,	38.9979313,	-77.4522362
20105,	38.9370838,	-77.5963271
20106,	38.68044709999999,	-77.99670429999999
20107,	55.2541583,	24.7726173
20108,	38.75,	-77.47
20110,	38.76571819999999,	-77.4811474
20111,	38.7550023,	-77.4357739
20112,	38.6518497,	-77.4357739
20113,	38.78,	-77.52
20115,	38.8360389,	-77.9053182
20116,	38.83000000000001,	-77.89
20117,	38.9814018,	-77.7223162
20118,	39,	-77.72
20119,	38.64189,	-77.6307018
20120,	38.8629803,	-77.4816693
20121,	38.8193117,	-77.4587239
20122,	38.84,	-77.47
20123,	45.4616266,	9.1741111
20125,	45.4972764,	9.203123
20126,	45.5174236,	9.2184075
20128,	38.75,	-77.9599999
20129,	39.1686396,	-77.60205690000001
20133,	45.47137,	9.2296929
20140,	38.9217311,	-77.8625146
20141,	39.1414768,	-77.77953699999999
20142,	39.1,	-77.78999999999999
20149,	39.03,	-77.5
20150,	12.9173831,	101.0033112
20153,	38.8899559,	-77.4399669
20158,	39.1292809,	-77.665066
20161,	45.5211038,	9.1729334
20165,	39.0527088,	-77.3841197
20167,	39.01,	-77.42999999999999
20168,	38.81,	-77.64
20172,	38.9679899,	-77.3806384
20175,	39.0488574,	-77.58486649999999
20181,	38.6733492,	-77.53901270000001
20183,	55.26085519999999,	24.7893514
20184,	39.0007289,	-77.9053182
20185,	38.98999999999999,	-77.88000000000001
20186,	38.7074563,	-77.85959629999999
20187,	38.7251427,	-77.7337628
20188,	38.71,	-77.78999999999999
20189,	38.9,	-77.03999999999999
20190,	38.9552797,	-77.3381855
20191,	38.9302229,	-77.3439283
20192,	38.9501674,	-77.3672157
20194,	38.9770833,	-77.3496708
20195,	38.9475624,	-77.3295728
20196,	38.93,	-77.39999999999999
20197,	39.1883159,	-77.6421577
20198,	38.8621634,	-77.7744754
20199,	21.8914196,	-102.2583684
20200,	42.7380984,	9.422826299999999
20201,	38.8875091,	-77.0140967
20202,	38.8835686,	-77.0280293
20203,	38.9055673,	-77.0466453
20204,	38.8868207,	-77.014344
20206,	38.92,	-76.99
20207,	38.92,	-76.99
20208,	38.8968052,	-77.0116017
20210,	38.8920292,	-77.0136483
20211,	38.9002425,	-77.0091326
20212,	38.8975099,	-77.0090063
20213,	38.8920292,	-77.0136483
20214,	38.92,	-76.99
20215,	38.8920292,	-77.0136483
20216,	38.8905335,	-77.014524
20217,	38.8955194,	-77.0138942
20218,	38.9024742,	-77.0449482
20219,	38.8830265,	-77.0134443
20220,	38.8987281,	-77.0336768
20221,	38.8961876,	-77.0281237
20222,	38.8973781,	-77.0337131
20223,	38.9036862,	-77.02969499999999
20224,	38.8921388,	-77.02638379999999
20225,	42.5637787,	8.935573699999999
20226,	38.8974442,	-77.0296868
20227,	38.8904699,	-77.0318901
20228,	38.8866773,	-77.0301791
20229,	38.8946642,	-77.02981919999999
20230,	38.8914591,	-77.035577
20231,	42.8654823,	17.7873095
20232,	38.92,	-76.99
20233,	38.92,	-76.99
20234,	42.7441159,	18.0124469
20235,	38.9145001,	-77.046121
20236,	3.6129259,	98.68481469999999
20237,	38.8875136,	-77.0152189
20238,	38.9,	-77.03999999999999
20239,	38.8997892,	-77.0238911
20240,	38.8944757,	-77.0424139
20241,	38.8961326,	-77.0514762
20242,	38.8619872,	-77.03053899999999
20243,	41.9968819,	9.3007367
20244,	38.92,	-76.99
20245,	38.8904228,	-77.0434934
20246,	42.6292502,	9.2120593
20247,	21.8750649,	-102.2882371
20248,	42.9436379,	9.4505993
20249,	53.5900195,	9.9897946
20250,	38.8859974,	-77.03269809999999
20251,	38.88524659999999,	-77.0246011
20252,	55.1340539,	24.7391122
20253,	53.5783009,	9.9666072
20254,	38.88318659999999,	-77.01995869999999
20255,	53.5795289,	9.9519685
20256,	42.6194115,	8.907978199999999
20258,	55.12208279999999,	24.6719216
20259,	53.5709612,	9.956364700000002
20260,	38.8841535,	-77.0259568
20261,	38.92,	-76.99
20263,	42.9222739,	17.1543601
20266,	38.92,	-76.99
20267,	42.9995343,	17.113007
20269,	43.0437976,	-2.1106617
20272,	42.27654,	9.3562094
20273,	42.9358607,	16.9417632
20275,	42.9930032,	9.378409000000001
20279,	55.1619523,	24.5547809
20280,	43.3632622,	-1.8220818
20281,	55.1594237,	24.6076988
20283,	55.1467484,	24.5777055
20284,	21.8417516,	-102.304874
20285,	55.1340656,	24.5477392
20286,	55.15043989999999,	24.5536281
20288,	55.2105843,	24.6981486
20289,	38.8841535,	-77.02595
20290,	42.5685573,	9.478381599999999
20297,	21.9397765,	-102.2877004
20298,	21.8517367,	-102.2597991
20301,	38.8886985,	-77.01329799999999
20303,	38.8748475,	-77.004986
20307,	38.976085,	-77.0290995
20308,	59.3724479,	28.2017115
20310,	38.9273849,	-77.01254449999999
20311,	55.3334215,	24.4544901
20312,	55.3174572,	24.4187998
20313,	55.3631673,	24.4531029
20314,	38.92,	-76.99
20315,	55.296208,	24.5116807
20316,	55.2914519,	24.4994772
20317,	38.92,	-76.99
20319,	38.8669531,	-77.01758319999999
20320,	60.4807211,	22.2262481
20321,	48.8591057,	30.1839832
20322,	48.860909,	30.24959329999999
20323,	55.3410017,	24.5983909
20324,	48.7925666,	30.2326594
20325,	37.8893615,	28.9470422
20326,	21.8784814,	-102.3327866
20327,	55.2963803,	24.6964114
20328,	55.28330030000001,	24.712675
20329,	55.3180784,	24.7735328
20330,	38.86,	-77.05
20331,	55.2745876,	24.7155021
20332,	48.7938115,	30.2952149
20333,	48.839026,	30.3108929
20334,	55.4187282,	24.5934033
20335,	55.387421,	24.5881037
20336,	55.395076,	24.5246589
20337,	55.3766513,	24.6383874
20340,	38.92,	-76.99
20343,	43.04262740000001,	17.4736016
20344,	43.0521719,	17.532764
20345,	55.42068070000001,	24.762988
20346,	55.3966094,	24.7239968
20347,	55.3892465,	24.7650212
20348,	55.38862030000001,	24.754237
20349,	55.40508819999999,	24.7120216
20350,	38.92,	-76.99
20351,	48.7142025,	30.4551244
20352,	55.37784389999999,	24.7563132
20353,	42.978729,	17.6096947
20354,	53.5596267,	9.9936835
20355,	38.9,	-77.03999999999999
20356,	42.9673396,	17.5623501
20357,	53.564431,	9.9690496
20358,	55.3040751,	24.8586922
20359,	53.5511779,	9.964175899999999
20360,	60.49825999999999,	22.2657989
20361,	55.318426,	24.8843421
20362,	3.5093905,	98.78116449999999
20363,	55.3136592,	24.9164773
20364,	55.3415749,	24.9238471
20365,	55.3312576,	24.9441369
20366,	55.3365626,	24.9672362
20367,	21.894764,	-102.2479968
20368,	55.3175999,	24.9661871
20370,	38.92,	-76.99
20371,	3.6498025,	98.7591311
20372,	38.8959036,	-77.0505317
20374,	38.8750283,	-76.9966445
20376,	38.8764191,	-76.9937358
20377,	55.280168,	25.0969239
20380,	38.92,	-76.99
20381,	55.2432978,	24.8873425
20382,	48.5397574,	30.23984
20384,	21.8599603,	-102.2429901
20386,	55.25573869999999,	24.9250541
20387,	55.25846689999999,	24.9531604
20388,	38.87,	-77
20389,	38.92,	-76.99
20390,	38.880052,	-76.9941873
20392,	38.9212612,	-77.06652
20393,	38.92,	-76.99
20394,	38.92,	-76.99
20395,	38.86,	-76.97
20397,	-22.9369679,	-43.4114825
20398,	38.92,	-76.99
20401,	38.899339,	-77.01146469999999
20404,	38.8993417,	-77.0091334
20406,	38.9141469,	-77.04344859999999
20413,	38.884025,	-77.0219753
20420,	38.9003669,	-77.03511370000001
20421,	38.9012806,	-77.0399886
20422,	38.9246554,	-77.0111048
20424,	38.9024697,	-77.03200079999999
20425,	38.8975934,	-77.0240331
20426,	38.9015382,	-77.0061587
20433,	38.8989707,	-77.0424139
20434,	38.9002425,	-77.0393761
20437,	38.9025311,	-77.0487527
20441,	38.9232985,	-77.036559
20453,	38.92,	-76.99
20456,	38.92,	-76.99
20457,	53.53164839999999,	9.9852574
20459,	53.54729870000001,	9.9778279
20460,	38.8921433,	-77.02825
20463,	38.8961921,	-77.02592
20468,	38.9,	-77.03999999999999
20469,	38.92,	-76.99
20470,	38.9,	-77.03999999999999
20472,	38.8837532,	-77.0170433
20492,	43.128938,	-1.9588007
20493,	43.1624286,	-1.9832594
20500,	38.89728179999999,	-77.03881559999999
20501,	38.9,	-77.03999999999999
20502,	38.8967584,	-77.03701629999999
20508,	38.8973837,	-77.03954159999999
20511,	38.9799999,	-77.05
20513,	3.5575419,	98.845924
20515,	38.8870943,	-77.0082254
20516,	3.5548805,	98.8624669
20520,	38.8943618,	-77.04997
20522,	38.8935572,	-77.0488931
20523,	38.8944641,	-77.04834819999999
20524,	38.9025769,	-77.0334585
20528,	38.8968017,	-77.0269605
20532,	38.9040211,	-77.0174033
20533,	38.901771,	-77.033058
20539,	38.92,	-76.99
20544,	38.895398,	-77.004986
20548,	38.8993459,	-77.0172233
20549,	38.8957365,	-77.0193827
20554,	38.903228,	-77.0460121
20557,	38.8875607,	-77.00581989999999
20565,	38.8896766,	-77.0197426
20570,	38.92,	-76.99
20573,	38.9002425,	-77.0091326
20582,	3.2012221,	98.68206359999999
20600,	42.6605477,	9.422826299999999
20601,	38.5915927,	-76.8028933
20606,	38.2452988,	-76.736538
20607,	38.6705753,	-77.04493269999999
20610,	38.5301986,	-76.6132566
20611,	38.4621051,	-76.98158769999999
20613,	38.6740691,	-76.8028933
20614,	49.0954162,	31.3956418
20615,	38.4132166,	-76.55460310000001
20616,	38.6551092,	-77.09098089999999
20617,	38.5407499,	-76.854799
20618,	38.2904375,	-76.79135579999999
20619,	38.2818635,	-76.5372625
20620,	38.2228586,	-76.5199195
20621,	38.3345065,	-76.8144298
20622,	38.480676,	-76.7777687
20623,	38.7443023,	-76.8317325
20624,	38.34730150000001,	-76.745195
20625,	38.2244271,	-76.8490328
20626,	38.2048528,	-76.76827750000001
20627,	38.2751684,	-76.6932058
20628,	38.1506658,	-76.34636239999999
20629,	38.3367637,	-76.4534165
20630,	38.14937889999999,	-76.4678766
20631,	3.3038732,	99.1594532
20632,	38.4284785,	-76.958545
20634,	38.22016139999999,	-76.49679189999999
20635,	38.3843757,	-76.72149089999999
20636,	38.3583554,	-76.5719414
20637,	38.5360314,	-76.76827750000001
20639,	38.6115662,	-76.6181655
20640,	38.5440178,	-77.2060241
20641,	48.8969157,	31.4283306
20642,	48.8443349,	31.394792
20643,	38.4915634,	-77.1595808
20644,	48.8775991,	31.2891696
20645,	38.2620765,	-76.90668289999999
20646,	38.5299364,	-76.9873477
20650,	38.23944609999999,	-76.6181655
20652,	48.8039187,	31.4362894
20653,	38.2034582,	-76.39845369999999
20654,	48.78513479999999,	31.3603489
20655,	48.7514564,	31.34292129999999
20656,	38.3429259,	-76.68458319999999
20657,	38.3835122,	-76.4331698
20658,	38.5653854,	-77.1657716
20660,	38.3754379,	-76.6955217
20673,	22.1523718,	-102.2769683
20685,	38.4446675,	-76.514138
20690,	38.165574,	-76.5342586
20693,	38.4575702,	-77.0794705
20703,	38.97,	-76.85
20709,	39.062982,	-76.8391683
20715,	38.9860548,	-76.745195
20726,	39.0931713,	-76.8584028
20733,	38.802157,	-76.5314817
20736,	38.6850218,	-76.6297189
20738,	38.96,	-76.92999999999999
20739,	43.1243027,	-2.2138289
20747,	38.853725,	-76.88939069999999
20753,	38.86,	-76.89
20757,	38.81,	-76.95
20763,	39.13450050000001,	-76.81154579999999
20764,	38.8302686,	-76.5083562
20766,	-22.861871,	-43.2884071
20768,	39,	-76.88
20769,	38.9779667,	-76.8086617
20770,	39.0019157,	-76.8836261
20771,	38.9916589,	-76.8632581
20772,	38.7922949,	-76.7567368
20773,	38.82,	-76.75
20774,	38.8682133,	-76.79135579999999
20775,	38.78,	-76.77
20776,	38.8700995,	-76.6297189
20777,	39.1762439,	-76.9758274
20778,	38.8267563,	-76.5661622
20779,	38.7548084,	-76.5661622
20781,	38.9498082,	-76.944141
20782,	38.9732233,	-76.94702199999999
20783,	38.9963501,	-76.97006689999999
20784,	38.94773410000001,	-76.8807437
20785,	38.9140455,	-76.8778612
20787,	38.98999999999999,	-76.97999999999999
20788,	38.96,	-76.9599999
20790,	38.8813417,	-76.85037539999999
20791,	38.82,	-76.94
20792,	38.82,	-76.75
20794,	39.1551963,	-76.79135579999999
20797,	39.09,	-76.84
20799,	38.8813417,	-76.85037539999999
20802,	21.8506657,	-102.7235671
20803,	21.8515638,	-102.716744
20804,	21.8742938,	-102.6833524
20805,	21.8452621,	-102.7271583
20808,	43.2935308,	-2.2187476
20809,	43.24159410000001,	-2.1548473
20810,	38.9799999,	-77.1
20811,	38.9799999,	-77.1
20812,	38.96589549999999,	-77.1442022
20813,	38.96,	-77.09
20814,	39.0038878,	-77.1053673
20815,	38.9875145,	-77.0737149
20816,	38.9516143,	-77.1197521
20817,	38.9894702,	-77.1370115
20818,	38.973755,	-77.1571443
20820,	43.2834847,	-2.3591531
20821,	45.664896,	9.1609267
20824,	38.9799999,	-77.09
20829,	43.2578646,	-2.3123031
20830,	39.15,	-77.0699999
20831,	45.6519151,	9.2035731
20834,	45.5860048,	9.1939221
20842,	39.2248938,	-77.4128193
20847,	39.08,	-77.14999999999999
20852,	39.0542102,	-77.1197521
20858,	4.2109781,	98.1557066
20871,	39.2506425,	-77.27499639999999
20873,	45.5842426,	9.4188575
20889,	39.0083306,	-77.09637599999999
20905,	39.11168199999999,	-76.99310740000001
20911,	38.98999999999999,	-77.03
20912,	38.9797389,	-77.004626
20913,	38.9799999,	-77.00999999999999
20930,	49.17113029999999,	32.3777508
20931,	49.2022858,	32.2917764
20940,	38.2735371,	29.3366501
20941,	49.0648273,	32.4288578
20960,	60.3588201,	22.2240066
20980,	37.0127195,	29.2785638
20986,	3.5173838,	98.99079379999999
21024,	45.814342,	8.7173149
21036,	39.2357331,	-77.004626
21041,	39.27,	-76.8
21062,	39.1599999,	-76.63
21065,	39.4938976,	-76.6589985
21070,	-22.8412578,	-43.2823662
21071,	39.4733637,	-76.8137088
21072,	-22.8475666,	-43.2884071
21073,	53.4592228,	9.9699029
21074,	39.6203553,	-76.8490328
21075,	39.2112091,	-76.745195
21076,	39.1676655,	-76.7221082
21077,	39.1518814,	-76.6961305
21078,	39.5675952,	-76.1435915
21079,	53.4643986,	10.0056525
21082,	39.4801461,	-76.4736602
21084,	39.6179117,	-76.4794435
21085,	39.4504865,	-76.3521514
21087,	39.4587385,	-76.4215988
21088,	39.7187139,	-76.8438695
21090,	39.20319480000001,	-76.675922
21092,	39.47,	-76.52
21093,	39.4452108,	-76.6528225
21094,	39.44,	-76.64
21101,	15.5267252,	-88.0020589
21102,	39.6900582,	-76.83749949999999
21104,	39.3318194,	-76.90668289999999
21105,	39.7167343,	-76.6554395
21106,	38.8959538,	-76.51193769999999
21107,	53.4998604,	9.9735576
21108,	39.0751243,	-76.6297189
21109,	53.4949324,	10.0319897
21111,	39.5794131,	-76.583499
21184,	3.1757267,	99.32292129999999
21188,	32.621276,	-115.5162942
21190,	46.97948030000001,	4.7493922
21200,	47.0125828,	4.8888061
21201,	39.2963369,	-76.62105389999999
21202,	39.2994145,	-76.60372219999999
21203,	39.29,	-76.61
21204,	39.407567,	-76.6354952
21205,	39.30420549999999,	-76.557493
21206,	39.3342834,	-76.5314817
21207,	39.3252511,	-76.71633589999999
21208,	39.3744588,	-76.745195
21209,	39.370859,	-76.6701475
21210,	39.3566383,	-76.6354952
21211,	39.3289463,	-76.63838319999999
21212,	39.364133,	-76.6123884
21213,	39.3179648,	-76.5661622
21214,	39.3485401,	-76.5661622
21215,	39.3416271,	-76.68169619999999
21216,	39.30969839999999,	-76.6701475
21217,	39.3056685,	-76.6354952
21218,	39.3322127,	-76.6008334
21219,	39.2227668,	-76.4505243
21220,	39.3514892,	-76.37530459999999
21221,	39.295848,	-76.4215988
21222,	39.2632524,	-76.4910093
21223,	39.28661350000001,	-76.647047
21224,	39.2713976,	-76.5603828
21225,	39.2213396,	-76.6123884
21226,	39.2101586,	-76.5603828
21227,	39.2396095,	-76.68169619999999
21228,	39.2724771,	-76.745195
21229,	39.2817753,	-76.69324379999999
21230,	39.2635174,	-76.6239423
21231,	39.287866,	-76.59216649999999
21331,	-22.8739062,	-43.36566639999999
21335,	53.2130077,	10.3924227
21339,	53.2536096,	10.3885867
21340,	46.9831078,	4.6610349
21341,	-22.8804346,	-43.3463628
21350,	47.3973152,	4.5717093
21353,	32.6012097,	-115.4748362
21354,	53.324568,	10.6695675
21357,	53.31763790000001,	10.3797537
21360,	47.13810900000001,	4.6864443
21365,	53.285794,	10.4483176
21368,	53.1878707,	10.739827
21376,	53.208713,	10.1284242
21378,	32.6232133,	-115.3881997
21379,	53.293462,	10.5080729
21380,	47.4380395,	5.0077517
21381,	-22.8759577,	-43.313771
21382,	53.3335989,	10.4462192
21501,	39.6499646,	-78.7600717
21502,	39.6570823,	-78.72494689999999
21503,	39.6375498,	-78.7626305
21504,	39.6613878,	-78.8046578
21505,	39.5963183,	-78.824659
21509,	53.5447292,	10.2167335
21510,	-22.8327841,	-43.3463628
21511,	-22.8454173,	-43.354809
21514,	53.4793173,	10.6159637
21516,	53.4931709,	10.5649702
21520,	39.6315062,	-79.3127543
21521,	39.5560834,	-79.0532061
21522,	39.6093727,	-79.23947609999999
21523,	39.4792625,	-79.0786281
21524,	39.6931161,	-78.79188789999999
21528,	39.6516956,	-78.9008769
21529,	39.7146996,	-78.7802054
21530,	39.6889551,	-78.5320107
21531,	39.63982439999999,	-79.4028639
21532,	39.6581548,	-78.9283598
21536,	39.65970280000001,	-79.17742679999999
21538,	39.40728379999999,	-79.2112769
21539,	39.5700514,	-78.9853813
21624,	38.8410516,	-76.2739795
21648,	38.4944547,	-76.23632479999999
21649,	39.13550559999999,	-75.77203279999999
21650,	39.3202654,	-75.8243427
21651,	39.2635694,	-75.8185314
21652,	38.71188009999999,	-76.2783235
21653,	38.7522854,	-76.177106
21654,	38.68347929999999,	-76.1377935
21655,	38.7344865,	-75.92309759999999
21656,	39.1,	-75.9599999
21657,	38.9568813,	-75.9811564
21658,	38.93563049999999,	-76.1435915
21659,	38.5851546,	-75.795284
21660,	38.9659677,	-75.8882508
21661,	39.1076956,	-76.2131474
21662,	38.6976683,	-76.2131474
21663,	38.7826554,	-76.23632479999999
21664,	38.6095681,	-75.9470498
21665,	38.7392452,	-76.34636239999999
21666,	38.9373391,	-76.3289941
21667,	39.34001629999999,	-76.06819899999999
21668,	39.1878038,	-75.8650148
21669,	38.4672989,	-76.3116235
21670,	39.14,	-75.77
21671,	38.6967382,	-76.3347838
21672,	38.2655737,	-76.0507949
21673,	38.6280893,	-76.0623979
21675,	38.2859875,	-76.0914011
21676,	38.7700787,	-76.34636239999999
21677,	38.4861344,	-76.16678069999999
21678,	39.32967910000001,	-76.1088001
21679,	38.9095375,	-76.097201
21680,	53.5852809,	9.4637422
21682,	53.60769939999999,	9.456590799999999
21690,	39.21,	-76.0699999
21703,	39.3729916,	-77.4587239
218 34,	55.5401316,	12.9136401
218 45,	55.5534678,	12.9602404
218 46,	55.54189479999999,	12.962962
218 47,	55.5444715,	12.9389452
218 55,	55.51961300000001,	12.960398
21824,	37.9873693,	-76.0217831
21825,	-22.9078077,	-43.4692953
21826,	38.319091,	-75.6237184
21829,	38.0993177,	-75.3761952
21830,	38.39396230000001,	-75.7487779
21831,	-22.8997009,	-43.4861447
21832,	-22.9234115,	-43.4933641
21833,	-22.8821564,	-43.4957704
21835,	38.536064,	-75.9405178
21836,	38.1215257,	-75.74005629999999
21837,	38.4597961,	-75.7592457
21838,	38.0097262,	-75.737149
21840,	38.2693462,	-75.911483
21841,	38.2469887,	-75.3178952
21842,	38.3358442,	-75.0853092
21843,	38.3366553,	-75.086979
21844,	-22.8664339,	-43.4825346
21849,	38.3472925,	-75.45777749999999
21850,	38.3708595,	-75.3995089
21851,	38.0695412,	-75.55096019999999
21852,	38.3289588,	-75.3753316
21853,	38.2169122,	-75.737149
21854,	-22.8490007,	-43.4813312
21856,	38.3377703,	-75.795284
21857,	38.04,	-75.66
21860,	37.4067726,	-6.503643299999999
21861,	38.5345874,	-75.74005629999999
21862,	38.3974661,	-75.2143584
21863,	38.1761612,	-75.41116439999999
21864,	38.0401357,	-75.3995089
21865,	38.2814943,	-75.841775
21866,	37.96519079999999,	-76.0101767
21867,	38.1045717,	-75.7924481
21970,	32.7149292,	-114.7324924
22009,	38.79,	-77.27
22010,	46.08631219999999,	9.2207399
22015,	38.7843884,	-77.2807423
22017,	46.0221379,	9.241374800000001
22022,	35.3647373,	-0.5139688
22025,	38.5947311,	-77.3381855
